geo_point_2d;Geo Shape;Nombre;Financiaci;Tipo;Camas;Direccion;Fecha;Barrio;codbarrio;coddistbar;coddistrit;X;Y
39.470105973039175, -0.35159846587245547;"{""coordinates"": [[-0.351598465872455, 39.470105973039175]], ""type"": ""MultiPoint""}";Centro de Salud Salvador Pau;Publico;Centro de Salud;0;Carrer de Salvador Pau, 42;2021-06-30;ALBORS;2;122;12;727820.2;4372295.2
39.46828419202946, -0.33523492144711997;"{""coordinates"": [[-0.33523492144712, 39.46828419202946]], ""type"": ""MultiPoint""}";Centro de Salud Serreria I;Publico;Centro de Salud;0;Calle Serrería, 73;2021-06-30;L'ILLA PERDUDA;1;131;13;729234.0;4372134.5
39.48171992029553, -0.3877693800186845;"{""coordinates"": [[-0.387769380018684, 39.48171992029553]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - Tendetes;Publico;Consultorio;0;Carrer de Ricardo Micó, 3;2021-06-30;CAMPANAR;1;041;4;724670.9;4373493.5
39.45307565703261, -0.39488128525927624;"{""coordinates"": [[-0.394881285259276, 39.45307565703261]], ""type"": ""MultiPoint""}";Hospital pare Jofre;Publico;Hospital;125;San Llátzer s/n;2021-06-30;FAVARA;5;085;8;724151.1;4370296.2
39.46986841058354, -0.33962035918278044;"{""coordinates"": [[-0.33962035918278, 39.46986841058354]], ""type"": ""MultiPoint""}";Consultorio Local Valencia L'Alger;Publico;Consultorio;0;Carrer de l'Alguer, 28;2021-06-30;BETERO;4;114;11;728851.5;4372299.2
39.44859289823784, -0.39142886582866815;"{""coordinates"": [[-0.391428865828668, 39.44859289823784]], ""type"": ""MultiPoint""}";Centro de Salud Plaza Segovia;Publico;Centro de Salud;0;Plaça de Segòvia, s/n;2021-06-30;L'HORT DE SENABRE;2;092;9;724462.6;4369807.2
39.4640592305419, -0.3721530342665327;"{""coordinates"": [[-0.372153034266533, 39.4640592305419]], ""type"": ""MultiPoint""}";Centro de Salud Ruzafa;Publico;Centro de Salud;0;Carrer de Sant Valero, 8;2021-06-30;RUSSAFA;1;021;2;726071.4;4371572.2
39.46125280897465, -0.345151735134724;"{""coordinates"": [[-0.345151735134724, 39.46125280897465]], ""type"": ""MultiPoint""}";Centro de Salud Trafalgar;Publico;Centro de Salud;0;Carrer de Trafalgar, 32;2021-06-30;LA CREU DEL GRAU;3;123;12;728403.8;4371328.8
39.51587110924407, -0.3906072468113931;"{""coordinates"": [[-0.390607246811393, 39.51587110924407]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - Borboto;Publico;Consultorio;0;PLAZA DEL MORERAL, Nº 8;2021-06-30;BORBOTO;7;177;17;724316.9;4377277.3
39.4426748177688, -0.3676057785373902;"{""coordinates"": [[-0.36760577853739, 39.4426748177688]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - Carretera de Artes;Publico;Consultorio;0;Ctra. d'Artés, 6;2021-06-30;LA FONTETA S.LLUIS;4;104;10;726532.0;4369209.9
39.461910851835775, -0.38190225890099666;"{""coordinates"": [[-0.381902258900997, 39.461910851835775]], ""type"": ""MultiPoint""}";Centro de Salud Gil y Morte;Publico;Centro de Salud;0;Carrer del Dr. Gil i Morte, 33;2021-06-30;ARRANCAPINS;4;034;3;725239.5;4371309.3
39.43238727444329, -0.37639588308428856;"{""coordinates"": [[-0.376395883084289, 39.43238727444329]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - Horno de Alcedo;Publico;Consultorio;0;Camí d'Alabau, 2;2021-06-30;EL FORN D'ALCEDO;1;191;19;725808.7;4368045.9
39.44922821261979, -0.33135816422606656;"{""coordinates"": [[-0.331358164226067, 39.44922821261979]], ""type"": ""MultiPoint""}";Centro de Salud de Nazaret;Publico;Centro de Salud;0;Carrer de Fernando Morais de la Horra, 2;2021-06-30;NATZARET;5;115;11;729630.2;4370029.1
39.46830338516906, -0.40915127139804935;"{""coordinates"": [[-0.409151271398049, 39.46830338516906]], ""type"": ""MultiPoint""}";Consorcio Hospital General Universitario De Valencia;Publico;Hospital;592;Av. Tres Cruces;2021-06-30;LA FONTSANTA;4;074;7;722874.5;4371951.1
39.47705873285184, -0.3307616039545098;"{""coordinates"": [[-0.33076160395451, 39.47705873285184]], ""type"": ""MultiPoint""}";Hospital de Valencia al Mar;Publico;Hospital;70;Río Tajo, 1;2021-06-30;LA MALVA-ROSA;3;113;11;729590.0;4373119.9
39.474867519108074, -0.32530302901805486;"{""coordinates"": [[-0.325303029018055, 39.474867519108074]], ""type"": ""MultiPoint""}";Hospital la Malva-Rosa;Publico;Hospital;47;Calle Isabel de Villena, 2;2021-06-30;LA MALVA-ROSA;3;113;11;730066.8;4372890.6
39.45259764130684, -0.3937719221534315;"{""coordinates"": [[-0.393771922153431, 39.45259764130684]], ""type"": ""MultiPoint""}";Hospital Universitario Dr. Peset;Publico;Hospital;539;Av. Gaspar Aguilar, 90;2021-06-30;FAVARA;5;085;8;724248.1;4370245.9
39.4881164866411, -0.3952882099072484;"{""coordinates"": [[-0.395288209907248, 39.4881164866411]], ""type"": ""MultiPoint""}";Centro de Salud Miguel Servet;Publico;Centro de Salud;0;Carrer Amics del Corpus;2021-06-30;BENICALAP;1;161;16;724003.6;4374184.8
39.528885148486346, -0.38583881449342305;"{""coordinates"": [[-0.385838814493423, 39.528885148486346]], ""type"": ""MultiPoint""}";Consultorio Auxilirar de Benigaraig;Publico;Consultorio;0;C/ FERRER Y BIGNE, Nº 47;2021-06-30;BENIFARAIG;1;171;17;724684.9;4378733.8
39.46618013217099, -0.40770282439103456;"{""coordinates"": [[-0.407702824391035, 39.46618013217099]], ""type"": ""MultiPoint""}";Centro de Salud Fontsanta;Publico;Centro de Salud;0;C. de la Mare de Déu de la Fontsanta, 18;2021-06-30;LA FONTSANTA;4;074;7;723005.9;4371719.0
39.49164568410172, -0.3816400224799013;"{""coordinates"": [[-0.381640022479901, 39.49164568410172]], ""type"": ""MultiPoint""}";Centro de Salud Valencia - Marco Merenciano;Publico;Centro de Salud;0;Carrer de Félix del Río (Activista Veïnal), 26;2021-06-30;TORREFIEL;2;152;15;725166.1;4374610.6
39.442732898467945, -0.3898350910498291;"{""coordinates"": [[-0.389835091049829, 39.442732898467945]], ""type"": ""MultiPoint""}";Centro de Salud San Marcelino;Publico;Centro de Salud;0;Carrer de Sant Pius X, 32;2021-06-30;SANT MARCEL.LI;4;094;9;724618.6;4369160.7
39.468273297844746, -0.3359385303164423;"{""coordinates"": [[-0.335938530316442, 39.468273297844746]], ""type"": ""MultiPoint""}";Centro de Salud Serreria II;Publico;Centro de Salud;0;Carrer de Pere de València, 28;2021-06-30;L'ILLA PERDUDA;1;131;13;729173.5;4372131.5
