Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Blasco Ibañez, 32 (F. Filología);90;T;7;32;40;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3589673254467337, 39.47673433298103], ""type"": ""Point""}";39.47673433298103, -0.3589673254467337;2026-02-25T21:25:24+01:00
Aragón - Vicente Sancho Tello;78;T;5;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.358688329939162, 39.46994531050937], ""type"": ""Point""}";39.46994531050937, -0.358688329939162;2026-02-25T21:28:26+01:00
Amadeo de Saboya (frente Ayuntamiento);80;T;13;11;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36229833944736023, 39.47374232444908], ""type"": ""Point""}";39.47374232444908, -0.36229833944736023;2026-02-25T21:28:35+01:00
Micer Mascó - Rodriguez Fornos;81;T;3;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36097833354659675, 39.47512832851177], ""type"": ""Point""}";39.47512832851177, -0.36097833354659675;2026-02-25T21:28:22+01:00
Fernando el Católico - Erudito Orellana;23;T;8;11;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3861784216967592, 39.471628328748515], ""type"": ""Point""}";39.471628328748515, -0.3861784216967592;2026-02-25T21:25:14+01:00
San José de Calasanz - Salas Quiroga;26;T;0;15;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38586429939117395, 39.46633523268935], ""type"": ""Point""}";39.46633523268935, -0.38586429939117395;2026-02-25T21:20:06+01:00
San Vicente Martir - Doctor Vilá Barberá;27;T;6;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3818514137102655, 39.463362299305594], ""type"": ""Point""}";39.463362299305594, -0.3818514137102655;2026-02-25T21:22:28+01:00
Salamanca - Conde Altea;31;T;13;5;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3650283531086902, 39.467365304622646], ""type"": ""Point""}";39.467365304622646, -0.3650283531086902;2026-02-25T21:26:32+01:00
Regne de Valencia - Doctor Sumsi;34;T;1;16;17;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36996137299092113, 39.46412229654908], ""type"": ""Point""}";39.46412229654908, -0.36996137299092113;2026-02-25T21:23:24+01:00
Conde Altea - Almirante Cadarso;32;T;3;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3682473649948816, 39.46600630156446], ""type"": ""Point""}";39.46600630156446, -0.3682473649948816;2026-02-25T21:25:26+01:00
Plaza del Musico López Chavarri;3;T;6;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3802883976424855, 39.4768353435743], ""type"": ""Point""}";39.4768353435743, -0.3802883976424855;2026-02-25T21:27:47+01:00
Guillem de Castro - San Pedro Pascual;6;T;1;14;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38408341393871137, 39.472798331478145], ""type"": ""Point""}";39.472798331478145, -0.38408341393871137;2026-02-25T21:20:35+01:00
Plaza de Tetuán;9;T;6;19;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3699303648826442, 39.47435533016869], ""type"": ""Point""}";39.47435533016869, -0.3699303648826442;2026-02-25T21:22:03+01:00
Plaza Ayuntamiento - Cotanda;11;T;6;21;27;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3767843903416451, 39.47118632283677], ""type"": ""Point""}";39.47118632283677, -0.3767843903416451;2026-02-25T21:22:55+01:00
Alfonso el Magnánimo - Nave;13;T;16;8;24;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37087436964085335, 39.4720623227334], ""type"": ""Point""}";39.4720623227334, -0.37087436964085335;2026-02-25T21:24:06+01:00
Xátiva - Bailén (Estación del Norte);17;T;7;23;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3772593951806123, 39.46746831099193], ""type"": ""Point""}";39.46746831099193, -0.3772593951806123;2026-02-25T21:26:05+01:00
Juan Llorens - Quart;19;T;4;11;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.391590438798602, 39.47436934054566], ""type"": ""Point""}";39.47436934054566, -0.391590438798602;2026-02-25T21:25:01+01:00
Quart - Fernando el Católico;20;T;5;11;16;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3878474253260651, 39.47503434099054], ""type"": ""Point""}";39.47503434099054, -0.3878474253260651;2026-02-25T21:22:30+01:00
