"identificador";"nombre_servicio";"tipo_servicio";"distrito_asignado";"latitud";"longitud"
"PA136";"Port - Noguera (1621)";"Parada EMT";"CAMINS AL GRAU";39,4625375620543;-0,341827658258927
"PA137";"Joan Verdeguer - Port (1590)";"Parada EMT";"POBLATS MARITIMS";39,4591958481089;-0,333827805922126
"PA138";"Mestre Rodrigo (Imparell) - General Avilés (1660)";"Parada EMT";"CAMPANAR";39,483700800912;-0,402209673113461
"PA139";"Museu Faller (1765)";"Parada EMT";"CAMINS AL GRAU";39,459171584252;-0,358574379730994
"PA140";"Marítim - Serradora (1757)";"Parada EMT";"CAMINS AL GRAU";39,4645741940915;-0,336183591726277
"PA141";"Lluís Peixó - Comte Melito (1749)";"Parada EMT";"ALGIROS";39,475144850556;-0,333448098006639
"PA142";"Ruaya (parell) - Visitació (1808)";"Parada EMT";"LA SAIDIA";39,4855588698905;-0,377084971955387
"PA143";"Col·legi Major (1900)";"Parada EMT";"ALGIROS";39,4785234738458;-0,339907116494864
"PA144";"Campanar - Conchita Piquer (1685)";"Parada EMT";"BENICALAP";39,4859758300923;-0,390939229441787
"PA145";"Cid - Aiora (1254)";"Parada EMT";"EXTRAMURS";39,4672339781529;-0,392311312711346
"PA146";"Albereda - Museu de les Ciències (1760)";"Parada EMT";"CAMINS AL GRAU";39,4577180431609;-0,350032022661066
"PA147";"Blasco Ibáñez - Enginyer Rafael Janini (129)";"Parada EMT";"ALGIROS";39,4712486220189;-0,340259125634389
"PA148";"Dr. Gómez Ferrer - Menéndez y Pelayo (170)";"Parada EMT";"EL PLA DEL REAL";39,4799682734447;-0,360837092138253
"PA149";"Inst. Obrer de Val. (parell) - Autopista Saler (1419)";"Parada EMT";"CAMINS AL GRAU";39,4560764064916;-0,356735748405286
"PA150";"la Plata - Ausiàs March (1353)";"Parada EMT";"L'EIXAMPLE";39,4531878390875;-0,372036458194018
"PA151";"Centre de Salut Malva-rosa (1165)";"Parada EMT";"ALGIROS";39,4768458915423;-0,32582774053106
"PA152";"Ausiàs March - Dr. Waksman (1436)";"Parada EMT";"L'EIXAMPLE";39,456096350591;-0,374865493067849
"PA153";"Russafa - Ciril Amorós (830)";"Parada EMT";"L'EIXAMPLE";39,465757783583;-0,37415615242073
"PA154";"Blasco Ibáñez - Ramon Llull (113)";"Parada EMT";"ALGIROS";39,4743155598499;-0,348547888420763
"PA155";"Burjassot - Salvador Tuset (309)";"Parada EMT";"BENICALAP";39,4945797152911;-0,39560262501317
"PA156";"la Malva-rosa - Sant Joan de Deu (25)";"Parada EMT";"ALGIROS";39,4773785558058;-0,328164470761392
"PA157";"Primat Reig - Ministre Luis Mayans (1277)";"Parada EMT";"LA SAIDIA";39,4895413231138;-0,37074257963276
"PA158";"Mare de Déu de Lepant (imparell) - Esc. F. Siurana (1028)";"Parada EMT";"QUATRE CARRERES";39,4295031279382;-0,363665971452387
"PA159";"Camí nou de Picanya - Arquitecte Segura de Lago (1225)";"Parada EMT";"PATRAIX";39,4563032174732;-0,404016751855955
"PA160";"Carrera del Riu - Camí dels Anouers (922)";"Parada EMT";"QUATRE CARRERES";39,4321055660414;-0,343169529038816
"PA161";"Aragó - Saragossa (1054)";"Parada EMT";"EL PLA DEL REAL";39,4686498349735;-0,359977247466403
"PA162";"Equador - Pintor Matarana (1067)";"Parada EMT";"BENICALAP";39,496078966499;-0,392778232099615
